Mix, Pure, Crude (M or P or C);Freq. (MHz);Eta (cP);T2LM (ms);T (K);TE (ms);;;;;;;;;;;;;;
C;2;9212,836786;1,309196;323,15;0,24;;;;;;;;;;;;;;
C;2;31,47069207;26,152906;424,15;0,24;;;;;;;;;;;;;;
C;2;26,5748011;31,279207;430,15;0,24;;;;;;;;;;;;;;
C;2;9,52;194,76;303,15;0,1;;;;;;;;;;;;;;
C;2;1452,37;2,587634515;303,15;0,3;;;;;;;;;;;;;;
C;2;1459,2;2,647592833;303,15;0,3;;;;;;;;;;;;;;
C;2;629,994429;3,260149;356,15;0,24;;;;;;;;;;;;;;
C;2;8437,76;1,818644523;303,15;0,3;;;;;;;;;;;;;;
C;2;33,37780977;24,476611;422,15;0,24;;;;;;;;;;;;;;
C;2;67,58;30,46;303,15;0,1;;;;;;;;;;;;;;
C;2;61,17;43,98;303,15;0,1;;;;;;;;;;;;;;
C;2;4,02;417,03;303,15;0,1;;;;;;;;;;;;;;
C;2;15556,49107;1,137216;318,15;0,24;;;;;;;;;;;;;;
C;2;14,80;243,70;303,15;0,1;;;;;;;;;;;;;;
C;2;58,19280778;15,141535;405,15;0,24;;;;;;;;;;;;;;
C;2;4104,53;1,429717511;323,15;0,3;;;;;;;;;;;;;;
C;2;789,05;3,10;303,15;0,1;;;;;;;;;;;;;;
C;2;442,60;4,44;303,15;0,1;;;;;;;;;;;;;;
C;2;39075,05099;0,909135;310,15;0,24;;;;;;;;;;;;;;
C;2;13,72;51,24;303,15;0,1;;;;;;;;;;;;;;
C;2;145651,9061;0,660575;300,15;0,24;;;;;;;;;;;;;;
C;2;119,2754978;8,940357;387,15;0,24;;;;;;;;;;;;;;
C;2;424,75;7,879900301;323,15;0,3;;;;;;;;;;;;;;
C;2;931,58;3,67;303,15;0,1;;;;;;;;;;;;;;
C;2;190,7294864;6,303881;377,15;0,24;;;;;;;;;;;;;;
C;2;73602,74267;0,787365;305,15;0,24;;;;;;;;;;;;;;
C;2;132,56;22,63501706;323,15;0,3;;;;;;;;;;;;;;
C;2;4695,938582;1,595249;330,15;0,24;;;;;;;;;;;;;;
C;2;1965,23;2,620962903;303,15;0,3;;;;;;;;;;;;;;
C;2;2091,52;3,500231954;323,15;0,3;;;;;;;;;;;;;;
C;2;124,6981436;8,51758;386,15;0,24;;;;;;;;;;;;;;
C;2;5,24;214,08;303,15;0,1;;;;;;;;;;;;;;
C;2;12,84;96,72;303,15;0,1;;;;;;;;;;;;;;
C;2;2158,99;2,38;303,15;0,1;;;;;;;;;;;;;;
C;2;278,48;9,114581212;303,15;0,3;;;;;;;;;;;;;;
C;2;11187,81;0,76;303,15;0,1;;;;;;;;;;;;;;
C;2;37,69267332;22,273907;418,15;0,24;;;;;;;;;;;;;;
C;2;1460,953327;2,354234;344,15;0,24;;;;;;;;;;;;;;
C;2;4372,5;1,944709819;303,15;0,3;;;;;;;;;;;;;;
C;2;52,34614315;16,560507;408,15;0,24;;;;;;;;;;;;;;
C;2;4,29;365,01;303,15;0,1;;;;;;;;;;;;;;
C;2;205,44;12,0585898;323,15;0,3;;;;;;;;;;;;;;
C;2;14,2766843;64,437437;456,15;0,24;;;;;;;;;;;;;;
C;2;15,20;118,30;303,15;0,1;;;;;;;;;;;;;;
